px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
13.2421	2.52758	4.5017	-0.588413	7.2416	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	2.37152e-321
13.0901	2.41292	4.64538	-1.13766	7.76565	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	2.37152e-321
12.6649	2.9986	4.6758	0.124259	6.96744	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	2.37152e-321
13.8217	2.63994	5.47242	-0.8583	8.25769	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	2.37152e-321
13.9654	3.06085	4.45896	0.852432	12.2378	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	2.37152e-321
14.1737	2.97305	4.69079	2.46307	12.9849	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	2.37152e-321
14.2441	2.17945	5.03463	0.396395	13.5302	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	2.37152e-321
14.4765	2.86083	5.78444	-0.178162	13.7705	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	2.37152e-321
14.701	3.33071	5.12089	0.769536	14.649	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	2.37152e-321
15.003	3.52686	5.39128	-0.0475356	15.8236	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	2.37152e-321
15.3898	3.5637	6.16181	0.800253	14.2661	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	2.37152e-321
15.5164	3.83317	6.5498	-0.270828	14.618	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	2.37152e-321
15.7226	3.6455	6.49935	0.0171457	14.3542	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	2.37152e-321
15.9768	3.96639	6.53138	0.29383	14.1598	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	2.37152e-321
16.3351	4.22432	6.48484	0.49691	13.8596	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	2.37152e-321
16.3298	4.44717	6.52958	0.775209	14.0647	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	2.37152e-321
16.6327	4.65823	6.4455	1.04408	11.6991	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	2.37152e-321
16.5936	4.67998	6.35407	1.63535	12.4738	16.6039	4.67344	16.613	4.5849	3.74	3.28438	2.37152e-321
16.2581	5.15661	6.83012	0.417382	12.6144	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	2.37152e-321
16.9837	5.23141	6.91584	-0.738157	13.0027	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	2.37152e-321
17.4901	5.01399	6.90608	0.276527	12.7969	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	2.37152e-321
17.2916	5.43013	6.68972	1.30234	12.4948	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	2.37152e-321
17.0696	5.15682	6.92821	0.80667	11.7977	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	2.37152e-321
17.7748	5.6324	7.28142	0.194182	12.8929	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	2.37152e-321
17.8983	6.1005	7.29689	3.07013	12.5209	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	2.37152e-321
18.1235	6.13799	7.23937	-1.46265	12.9253	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	2.37152e-321
18.4967	6.78867	6.93423	-3.08298	14.3629	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	2.37152e-321
18.2176	6.65058	6.97644	1.39979	14.9579	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	2.37152e-321
18.0027	7.23172	7.69274	1.31182	18.1527	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	2.37152e-321
18.4962	6.77253	7.42052	3.00179	18.9168	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	2.37152e-321
18.883	6.34121	7.64134	1.46948	20.5965	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	2.37152e-321
19.1234	7.18442	7.98047	1.95045	20.197	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	2.37152e-321
18.736	7.57748	7.74197	1.12001	20.4835	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	2.37152e-321
18.9876	7.88073	7.83118	-3.0631	21.0563	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	2.37152e-321
19.296	7.71287	7.36094	1.38038	23.3852	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	2.37152e-321
19.1189	8.13059	7.48782	-0.889577	23.62	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	2.37152e-321
18.9228	8.08716	7.52561	-0.550822	25.0186	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	2.37152e-321
19.3401	8.29678	7.67372	0.01525	24.8996	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	2.37152e-321
19.6851	8.3125	7.83872	0.793534	26.4681	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	2.37152e-321
