px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	yaw_angle	yaw_rate	NIS
11.6449	1.69355	5.12636	0.264303	0.171878	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.318855	0.288846	1.14464
11.877	1.76036	5.11161	0.273747	0.173271	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.333298	0.294705	0.50317
12.1289	1.84764	5.13335	0.288397	0.178843	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	0.348033	0.300517	1.19661
12.3723	1.88	5.12041	0.279108	0.157523	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.363059	0.306282	0.706569
12.625	1.93942	5.13674	0.279681	0.147207	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.378373	0.311998	0.900491
12.8271	2.07389	5.11136	0.319457	0.186181	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	0.393973	0.317665	3.64632
13.0871	2.17543	5.15535	0.333067	0.187513	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	0.409856	0.323282	3.61231
13.2907	2.31745	5.13484	0.371908	0.222815	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	0.42602	0.328848	2.77261
13.4789	2.46458	5.07993	0.416422	0.268133	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	0.442462	0.334362	11.1869
13.725	2.58064	5.0983	0.433014	0.271371	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.459181	0.339823	0.730743
13.946	2.69516	5.08615	0.451768	0.27916	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.476172	0.34523	0.295387
14.172	2.84784	5.10049	0.483115	0.299057	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.493433	0.350583	0.625992
14.4177	2.95248	5.12998	0.483991	0.276991	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	0.510962	0.355881	1.49404
14.6265	3.03187	5.09601	0.483333	0.261271	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	0.528756	0.361122	2.25147
14.8543	3.17818	5.12421	0.503728	0.265405	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	0.546812	0.366307	3.98427
15.0581	3.36877	5.13776	0.547377	0.30021	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	0.565128	0.371433	1.32072
15.27	3.53228	5.13853	0.577457	0.320381	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	0.583699	0.376501	2.50898
15.4801	3.71868	5.15839	0.612055	0.341119	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.602525	0.381509	0.840535
15.6929	3.85207	5.1528	0.621761	0.332616	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.6216	0.386458	0.904366
